date,item_id,movement_type,qty,doc_ref
2025-01-01,MRO-0001,OPENING,1,OPEN
2025-02-06,MRO-0001,ISSUE,-1,WO-87522
2025-02-08,MRO-0001,ISSUE,-1,WO-44835
2025-02-18,MRO-0001,ISSUE,-1,WO-10603
2025-02-28,MRO-0001,ISSUE,-2,WO-73197
2025-03-12,MRO-0001,ISSUE,-1,WO-89929
2025-03-12,MRO-0001,ISSUE,-1,WO-86898
2025-03-20,MRO-0001,ISSUE,-2,WO-81158
2025-03-30,MRO-0001,RECEIPT,21,PO-68541
2025-04-18,MRO-0001,ISSUE,-2,WO-93407
2025-05-01,MRO-0001,ISSUE,-5,WO-71262
2025-05-15,MRO-0001,RECEIPT,8,PO-24752
2025-05-20,MRO-0001,RECEIPT,13,PO-55751
2025-05-22,MRO-0001,ISSUE,-2,WO-10670
2025-05-24,MRO-0001,ISSUE,-1,WO-32334
2025-05-25,MRO-0001,RECEIPT,10,PO-30240
2025-05-28,MRO-0001,ISSUE,-1,WO-17934
2025-05-29,MRO-0001,ISSUE,-2,WO-22227
2025-06-01,MRO-0001,ISSUE,-1,WO-92027
2025-06-04,MRO-0001,ISSUE,-1,WO-44495
2025-06-05,MRO-0001,ISSUE,-1,WO-38630
2025-06-08,MRO-0001,ISSUE,-1,WO-21232
2025-07-19,MRO-0001,ISSUE,-1,WO-89914
2025-07-25,MRO-0001,ISSUE,-1,WO-84563
2025-08-14,MRO-0001,RECEIPT,8,PO-99380
2025-08-15,MRO-0001,RECEIPT,10,PO-14897
2025-08-28,MRO-0001,ISSUE,-1,WO-20813
2025-08-30,MRO-0001,ISSUE,-1,WO-23415
2025-10-11,MRO-0001,ISSUE,-1,WO-75473
2025-10-14,MRO-0001,ISSUE,-2,WO-83481
2025-10-14,MRO-0001,ISSUE,-1,WO-73556
2025-10-15,MRO-0001,ISSUE,-3,WO-92599
2025-11-07,MRO-0001,RECEIPT,8,PO-79021
2025-11-20,MRO-0001,ISSUE,-1,WO-84419
2025-01-01,MRO-0002,OPENING,3,OPEN
2025-01-04,MRO-0002,ISSUE,-1,WO-25274
2025-01-24,MRO-0002,ISSUE,-1,WO-16173
2025-01-29,MRO-0002,RECEIPT,10,PO-62433
2025-02-13,MRO-0002,ISSUE,-1,WO-12012
2025-02-17,MRO-0002,ISSUE,-2,WO-72999
2025-03-16,MRO-0002,ISSUE,-3,WO-28098
2025-03-22,MRO-0002,ISSUE,-1,WO-85373
2025-04-09,MRO-0002,RECEIPT,10,PO-49842
2025-04-17,MRO-0002,ISSUE,-2,WO-15970
2025-05-12,MRO-0002,ISSUE,-1,WO-94715
2025-05-25,MRO-0002,RECEIPT,5,PO-25949
2025-05-30,MRO-0002,ISSUE,-3,WO-97808
2025-06-12,MRO-0002,ISSUE,-1,WO-85219
2025-07-04,MRO-0002,RECEIPT,5,PO-19456
2025-07-31,MRO-0002,ISSUE,-2,WO-61793
2025-08-25,MRO-0002,ISSUE,-1,WO-94641
2025-09-02,MRO-0002,RECEIPT,10,PO-79141
2025-09-13,MRO-0002,RECEIPT,10,PO-32581
2025-09-23,MRO-0002,ISSUE,-2,WO-85257
2025-10-01,MRO-0002,ISSUE,-2,WO-89044
2025-10-06,MRO-0002,RECEIPT,21,PO-19489
2025-10-09,MRO-0002,ISSUE,-1,WO-28988
2025-10-11,MRO-0002,ISSUE,-1,WO-85888
2025-10-19,MRO-0002,ISSUE,-3,WO-72648
2025-10-27,MRO-0002,ISSUE,-3,WO-13688
2025-11-18,MRO-0002,ISSUE,-1,WO-32648
2025-11-23,MRO-0002,ISSUE,-1,WO-83749
2025-11-23,MRO-0002,ISSUE,-2,WO-30647
2025-11-24,MRO-0002,ISSUE,-2,WO-99541
2025-11-29,MRO-0002,ISSUE,-1,WO-34848
2025-01-01,MRO-0003,ISSUE,-5,WO-97043
2025-01-01,MRO-0003,ISSUE,-1,WO-28819
2025-01-01,MRO-0003,OPENING,13,OPEN
2025-01-03,MRO-0003,ISSUE,-3,WO-74763
